employee_id,company_name,description,start_date,end_date,role,responsibilities,customer,etl_date,ingest_ts,ingest_ts_offset
5ee5be5b-5e5d-4237-8459-a31bd4d19495,Grid Logics,"PatSeer is Search optimization web tool which is used for making analysis of Patents. On basis of analysis, onward direction and path of research on a specific topic is decided to avoid infringement of Patents which leads to directing the Scientists or Inventors towards discovery of a completely new and pure invention.",2015-01-02 00:00:00,2015-10-02 00:00:00,QA Engineer,"Implemented automation using Selenium WebDriver
Developed Keyword Driven and Data Driven frameworks to retrieve test actions, test data from Excel files.",Syngenta,2026-05-04 11:32:14.860000,2026-05-05 11:47:06.489056,UTC-4
b4a2f4d1-d24d-4b9c-a7a5-160a3edfc0f9,Luxoft,Development and maintenance of multiple services that provide key-value database functionality and distributed file storage for backend services.,2021-06-02 00:00:00,2024-05-02 00:00:00,Senior Software Developer,"Legacy Codebase Maintenance: ensured the ongoing functionality and reliability of legacy systems through maintenance and updates.
Feature Development: collaborated in discussions and led the implementation of new features, aligning with project goals and client needs.
Code Optimization and Refactoring: refactored and optimized code to enhance efficiency, significantly reducing the time required for new feature implementation.
Bug Fixing and Stability Assurance: Proactively identified and rectified software bugs, ensuring minimal disruption and upholding system stability.
Code Review and Quality Assurance: Led code reviews and enforced coding standards, ensuring high-quality software development practices.",Mercedes,2026-05-04 11:32:14.860000,2026-05-05 11:47:06.489056,UTC-4
4302fb65-98d4-48dc-8155-2491a785ec2d,Luxoft Technology/DXC,"•	Led the decommissioning and modernization of the Eagle PACE application within the Asset Management segment, utilizing data analysis techniques to identify usage patterns and optimize data migration strategies for the new DAAS solution.
•	Conducted thorough business analysis to identify and document functional and non-functional requirements for the DAAS solution replacing Eagle PACE.",2023-07-02 00:00:00,2024-08-02 00:00:00,Asset management Consultant/ Business System Analyst,"•	Data Analysis: Employed data mining techniques to extract insights from Eagle PACE data, informing DAAS requirement definition identifying frequently used functionalities, data quality issues
•	Data Transformation: Defined data transformation processes to ensure seamless data migration from Eagle PACE to the DAAS platform. (data cleansing, format standardization)
•	Collaborated with stakeholders to gather and refine system requirements for DAAS, ensuring alignment with business needs for asset management. This involved leveraging data visualizations to communicate findings and facilitate informed decision-making.
•	Developed detailed test plans and executed comprehensive testing using SQL queries and data analysis tools to ensure the DAAS functioned seamlessly, replacing Eagle PACE functionalities.
•	Leveraged capital markets knowledge to analyze different asset classes interfaces, assess risk profiles, and formulate strategic investment decisions.",Deutsche Bank Wealth Services,2026-05-04 11:32:14.860000,2026-05-05 11:47:06.489056,UTC-4
716341b5-a925-4a4e-8407-b6ef733ab689,Telenet,"Integrated within the solutioning organization of a major enterprise telecommunications company to support and execute the platform, infrastructure, and application integrations required for a Digital Transformation Program. Additionally, I was leading a prominent, high-profile AWS initiative, a key component of our corporate cloud adoption strategy.",2016-06-02 00:00:00,2022-09-02 00:00:00,Platform Infrastructure Lead,"Infrastructure and Platform Lead responsible for full budget oversight and fulfilling requirements for both internal application developers/partners and third-party vendors, including AEM, Netcracker, and Pega.

Led Incident & Problem Management war room facilitation, coordinating with multi-disciplinary SMEs such as API Gateway experts, Network Engineers, Middleware, and Linux specialists to resolve complex issues and defects.

Enforce adherence to the SCRUM framework for planning and resourcing, guaranteeing that both internal and external development teams receive the required integrations, platforms, and infrastructure accurately on the first attempt.

E2E Responsibility of Cost/time/resource of various re-platforming initiatives OSS/BSS/IT applications and ensuring Operational readiness and acceptance is fulfilled.

E2E Project Manager for an ongoing AWS Cloud native (CPQ) initiative which utilises expertise from cloud and platform engineering squads with large involvement from big data and different flavours of traditional mysql db oriented services",,2026-05-04 11:32:14.860000,2026-05-05 11:47:06.489056,UTC-4
716341b5-a925-4a4e-8407-b6ef733ab689,Luxoft,"Assigned within LSEG in the UK, where I have been for nearly two years. During my tenure, I've taken on various informal roles including solutions architect, product owner, tooling assessment, citizen developer, and creator of reporting frameworks for both internal and external customers at LSEG. These roles were all aimed at bringing order to complex situations and delivering value.",2022-09-02 00:00:00,,Senior Project Manager,"Role 1

Developer Tooling SME

Recruited into a Cloud Enablement Team to conduct Developer Tooling (Applications/DevOps/Utilities) assessments for acquired FinTech’s. The role was a technical role with a mixture of Solution Engineering, Architecture, delivery and to GSD. (Get Stuff Done)

The primary goal was to ensure we have strategic or tactical alternatives for Developer oriented tooling to ensure that they can commit code from Day1 in LSEG.

Ensure we have audited sound reasoning on whether to Migrate, Eliminate, Invest or Tolerate an application that is being used by developers of the acquired company. 

Engage with the LSEG platform owners to assist in the onboarding and migration to our strategic DevOps platforms and associated.

Ensure our Enterprise Lifecycle management application (Lean IX) was update with all the necessary meta data for applications under assessment.

Work closely with EUC (End User Compute) on applications that need a packaging assessment to temporarily tolerate the use of the utilities/applications on an LSEG device (Developer Laptop – Windows/MacBook) to maximise Developer efficiency (let them code from Day 1)

Produce Treatment plans in our strategic knowledge sharing SaaS application StackOverflow for the availability of the application/utility so that this information can be re-used for repeated applications/tooling with different acquired companies.

++++++++++++++++++++++++++++++++++++++++

Role 2

Asana SME

Over the past seven months, I took on a side project within my Cloud Enablement Team to lead a major transformation initiative. 
Despite it not being my primary role, (Developer Tooling) I successfully transitioned our teams to Asana, streamlining our workflows and enhancing productivity. 
This experience allowed me to demonstrate my ability to manage change, optimize processes, and drive efficiency beyond my core responsibilities. I’m excited about the positive impact this has had on our operations and look forward to leveraging these skills in future projects.

Outcomes:

Developing a delivery framework for Time+ assessments (Visualized in Power BI) to streamline the tooling assessment process, enhancing time to market and improving the overall developer experience.
Transforming the delivery and tracking of work for business sponsors, ensuring effective communication of both positive and negative outcomes.

Implementing delivery templates using Asana to quickly establish ""Work Packages/Project Plans"" with clear and defined 'Definitions of Done', promoting a transparent work process with full team collaboration.

Creating a client reporting and tracking portal using Power BI and Power Apps to manage all strategic projects, offering real-time 'what’s on fire' views for business sponsors and department heads.

Eliminated PowerPoint reporting with the development of a Project on a Page (POAP) for all projects under various Portfolios. Used by both Client and Programme and n+1 to give a real time view of actual progress versus perceived.

Improved efficiency for Team (engineering) stand-ups (Wagile) as we used underlying data (data driven dashboards) to focus on pain points as well as celebrate successes.

++++++++++++++++++++++++++++++++++++++++

Role 3

Integration Tooling Consultant

Spearheaded the onboarding of Asana as a strategic collaboration and work management SaaS application.

Led end-to-end workflows for the integration of Asana data into our Corporate Data Cloud (Snowflake) for custom metrics development, ensuring compliance with regulatory requirements for data governance.

Developed product selection scorecards to identify the best products for integrating Asana with Azure DevOps, GitLab, Jira, and other enterprise systems, considering cost, functionality, technical fit, security, and business requirements.

Executed proof-of-concepts (POCs) for integration capabilities between Azure DevOps and various enterprise applications, focusing on SaaS tooling.

Directed customer engagement for metrics development using Power BI and Snowflake, handling data from multiple sources including ServiceNow, Jira, and GitLab.

Acted as the escalation point for the Developer Desktop (AWS Developer Workspace) Provisioning Team for L1/L2 support.",LSEG,2026-05-04 11:32:14.860000,2026-05-05 11:47:06.489056,UTC-4
b609f8cc-8841-403b-b7f2-906868b7dcaa,National Securities Depository Limited,"As a Business Analyst specialized in clearing and settlement for the depository, I was part of the Depository Migration project where the entire system was migrated to a new technology with enhanced features. While acting as the stream lead for Clearing and Settlement, also was point of contact for clients and led trainings and also managed the functional and automated testing teams as well",2009-04-02 00:00:00,2012-06-02 00:00:00,Assistant Manager,"Business Analysis, Project Management, Test Management, Client interaction",,2026-05-04 11:32:14.860000,2026-05-05 11:47:06.489056,UTC-4
b609f8cc-8841-403b-b7f2-906868b7dcaa,ICICI Bank Limited,"Acted as the lead implementation specialist for treasury projects for the foreign branches and subsidiaries of ICICI Bank India and successfully implemented multiple projects. Some of the main projects included implementation and integration of Multibank Forex trading platforms of FXALL and 360T at ICICI Bank UK, Canada, Hong Kong, Singapore and Dubai, B2B business banking forex remittance platform in ICICI Bank Canada and its integration with Murex",2013-07-02 00:00:00,2017-02-02 00:00:00,Senior Manager,"Requirement analysis, Testing, Process architecture and end to end project management",,2026-05-04 11:32:14.860000,2026-05-05 11:47:06.489056,UTC-4
f506118b-2a8b-4b07-92fa-caa2f08d29c2,Cognizant Technology Solutions  India Pvt Ltd,"A Data Architect and Data Modelling for the different teams which is depending on PAM data base. 
The Main objective of this application is to support and leverage in all angles for the successful Go-Live for a different servicing areas.
The application has the features to salvage the data if incorrect, upgrade data by eliminating the outliers through different modules in the application.",2021-09-02 00:00:00,2024-05-02 00:00:00,Sr.Associate - Projects,Database Architect/Data Modeller,Johnson  & Johnson (U.S.A),2026-05-04 11:32:14.860000,2026-05-05 11:47:06.489056,UTC-4
f506118b-2a8b-4b07-92fa-caa2f08d29c2,Tata Consultancy Services Ltd,"A validation application in the Retailer Measurement System (RMS), which validates the sales data and provides the validated data to downstream in the required format.
The main objective of this application is to find a match for the barcode received from the retailer with the standard key from the upstream application. 
The application have the features to salvage the data if incorrect, upgrade data by eliminating the outliers through different modules in the application.",2015-12-02 00:00:00,2021-09-02 00:00:00,Business Process Lead,Offshore Team Lead (Scrum Master)/Developer,Nielsen IQ,2026-05-04 11:32:14.860000,2026-05-05 11:47:06.489056,UTC-4
f506118b-2a8b-4b07-92fa-caa2f08d29c2,HCL Technologies Ltd,"A data validation and formatting are done in Excell and Power point format as per the client request and shared in recurring basis.
Understanding the client Project Change Requests requirements and prepared detailed design document and Impact Analysis document.",2013-04-02 00:00:00,2015-12-02 00:00:00,Analyst,As a data analyst to Performed marketplace analysis to attain product goals and strategies,Office Depot,2026-05-04 11:32:14.860000,2026-05-05 11:47:06.489056,UTC-4
