Work Item Type,Title,Description,Acceptance Criteria,Priority,Story Points,Tags,Epic,Area Path,Iteration Path,State,Notes / BR Mapping
Epic,EPIC-01: Workday Data Integration,Integration with Workday to retrieve employee attributes and CV artifacts as the authoritative data source for the platform.,,1,,Workday;Integration;TalentAI,EPIC-01,DXC Talent AI,Sprint 1,New,BR-02
User Story,US-001: Candidate attributes from Workday,"As a Manager/Account Lead, I want the candidate's attributes (skills, certifications, languages, job level, location, service line, manager) to come from Workday, so that the application uses an authoritative dataset and reduces manual work.","- Candidate profile in the app shows attributes derived from Workday.
- Updated attributes are reflected in the app according to the agreed cadence.",1,3,Workday;EPIC-01;Must;TalentAI,EPIC-01,DXC Talent AI,Sprint 1,New,BR-02
User Story,US-002: Retrieve CV artifact from Workday,"As a Manager/Account Lead, I want the application to retrieve the CV artifact stored in Workday when available, so that CV generation can leverage Workday content.","- When a CV artifact exists for an employee in Workday, the system can retrieve it for processing.",1,2,CV;Workday;EPIC-01;Must;TalentAI,EPIC-01,DXC Talent AI,Sprint 1,New,BR-02
User Story,US-003: Show data source (Workday vs CV repository),"As a Manager/Account Lead, I want to see where the data comes from (Workday vs. CV repository) for paired attributes, so I can trust and explain why a candidate was matched.","- When matched via CV text, the system indicates source as 'derived from CV'.
- When matched via Workday, source is indicated as 'derived from Workday'.",1,2,DataSource;EPIC-01;Must;TalentAI,EPIC-01,DXC Talent AI,Sprint 2,New,BR-02
User Story,US-004: Integration with production quality data,"As a Product Owner, I want the integration to work with production quality data (not just UAT/simulated data), so that the solution can be deployed and used operationally.","- When the application runs a search with configured production connectivity, results are based on production data sources.",1,3,Production;EPIC-01;Must;TalentAI,EPIC-01,DXC Talent AI,Sprint 1,New,BR-02
Epic,EPIC-02: Integration with FDS / My Growth,Ingest FDS knowledge data from the My Growth platform via APIs to consolidate talent knowledge before enabling searches.,,1,,MyGrowth;FDS;Integration;TalentAI,EPIC-02,DXC Talent AI,Sprint 1,New,BR-07
User Story,US-005: Ingest My Growth knowledge data via API,"As a business owner, I want to absorb FDS knowledge data from My Growth via APIs, so that talent knowledge is consolidated and searchable.","- When My Growth provides a valid data payload and ingestion is executed, data is stored and linked to the correct employee IDs.",1,3,MyGrowth;FDS;API;EPIC-02;Must;TalentAI,EPIC-02,DXC Talent AI,Sprint 1,New,BR-07
Epic,EPIC-03: EQF / MECES Study Mapping and Maintenance,"Manage the mapping between employee academic qualifications and the European Qualifications Framework (EQF) levels and the Spanish equivalent MECES framework. The mapping table is pre-loaded automatically from official sources and can be maintained by an administrator. Employee study data from Workday is automatically identified and mapped to the corresponding EQF/MECES level, enriching the employee profile.

References:
- EQF: https://europass.europa.eu/en/european-qualifications-framework-eqf
- MECES (Spain): https://www.ciencia.gob.es/Universidades/MECES.html",,1,,EQF;MECES;Studies;Mapping;TalentAI,EPIC-03,DXC Talent AI,Sprint 2,New,BR-EQF
User Story,US-006: Pre-load EQF/MECES mapping table from official sources,"As a system administrator, I want the EQF/MECES mapping table to be pre-loaded automatically from the official frameworks on first setup, so that the platform starts with an up-to-date and authoritative qualification mapping without manual data entry.","- Given the system is initialised, when the EQF/MECES pre-load process runs, all standard qualification levels (EQF 1–8 and their MECES equivalents for Spain) are imported and stored in the mapping table.
- The pre-loaded entries include: qualification name, EQF level (1–8), MECES level (1–4), and the country/framework scope.
- The import process logs the source, version, and date of the loaded data.
- Pre-loaded entries are marked as 'Official' to distinguish them from administrator-added entries.",1,3,EQF;MECES;PreLoad;EPIC-03;Must;TalentAI,EPIC-03,DXC Talent AI,Sprint 2,New,BR-EQF
User Story,US-007: Administrator maintenance of EQF/MECES mapping table,"As an administrator, I want to add, edit, and deactivate entries in the EQF/MECES mapping table, so that the platform can accommodate new qualifications, institutional titles, or country-specific equivalences not covered by the standard pre-load.","- Given I have administrator role, when I access the EQF/MECES mapping management screen, I can view all existing entries with their EQF level, MECES level, scope, and status.
- I can add a new qualification entry providing: qualification name, EQF level (1–8), MECES level where applicable, country/framework scope, and a justification note.
- I can edit any existing entry; changes are saved with a timestamp and the editor's user ID for audit purposes.
- I can deactivate (soft-delete) an entry; deactivated entries are hidden from employee mapping but retained in the audit log.
- Official pre-loaded entries can be edited but are flagged as 'Modified from official source'.
- All changes are logged in an audit trail accessible to administrators.",1,3,EQF;MECES;Admin;Maintenance;EPIC-03;Must;TalentAI,EPIC-03,DXC Talent AI,Sprint 2,New,BR-EQF
